StudentID,LifeSatisfaction,StudyHours,AttendanceRate,FriendCount,SleepHours,ExerciseHours,MentalStress,InternetUse,PartTimeHours
S0408,5.1,16.8,100.0,4,5.4,2.2,5,5.8,10
S0409,5.6,24.4,90.0,6,5.4,2.6,6,5.7,4
S0410,5.3,22.4,82.0,5,4.4,0.2,6,5.0,18
S0411,8.4,14.5,76.0,7,6.8,9.1,3,3.0,9
S0412,6.4,5.4,87.0,2,6.9,5.2,5,4.6,10
S0413,5.0,4.2,82.0,4,6.6,2.7,6,3.7,22
S0414,6.0,5.8,66.0,1,5.7,7.6,6,3.6,8
S0415,6.8,11.2,72.0,9,7.4,1.9,4,2.3,1
S0416,5.7,11.4,78.0,5,5.4,0.4,5,2.9,11
S0417,4.6,12.6,87.0,3,6.4,1.6,6,5.4,4
S0418,4.7,20.9,85.0,6,6.9,0.4,9,2.3,17
S0419,7.0,18.4,75.0,5,5.9,1.6,3,1.6,9
S0420,4.8,22.0,87.0,6,6.5,1.4,7,4.7,15
S0421,5.2,19.3,93.0,9,5.5,0.7,8,4.6,12
S0422,6.9,21.6,100.0,7,6.1,2.1,2,3.2,12
S0423,3.4,27.1,68.0,10,5.6,5.6,8,6.5,22
S0424,5.5,19.5,86.0,7,5.7,2.0,8,4.3,11
S0425,5.9,6.5,70.0,7,4.6,4.1,5,4.5,2
S0426,4.9,0.0,73.0,5,6.8,1.6,7,0.2,19
S0427,4.0,2.9,74.0,4,6.0,0.0,8,4.3,11
S0428,5.6,14.5,80.0,2,5.2,2.3,5,6.0,14
S0429,7.5,21.2,97.0,6,7.2,1.7,6,1.8,3
S0430,7.1,14.4,77.0,2,6.5,0.3,3,5.3,15
S0431,6.4,12.0,77.0,5,6.8,1.5,4,3.4,2
S0432,6.7,16.4,94.0,4,5.3,0.4,5,3.2,8
S0433,7.3,21.6,89.0,2,6.7,3.1,5,3.0,4
S0434,3.0,13.3,86.0,1,6.4,2.8,9,1.2,14
S0435,6.5,15.0,79.0,6,6.8,0.9,5,0.2,15
S0436,7.8,23.5,87.0,8,7.3,3.3,3,0.2,6
S0437,3.0,5.5,57.0,4,6.0,2.5,7,5.5,30
S0438,4.1,7.7,79.0,3,7.0,1.0,7,4.1,7
S0439,6.4,6.5,78.0,8,7.2,1.5,6,0.7,10
S0440,6.6,15.7,77.0,5,6.6,4.2,5,4.9,1
S0441,7.3,20.9,93.0,2,5.2,0.8,4,4.5,3
S0442,6.2,29.7,73.0,4,6.5,4.7,4,3.0,21
S0443,4.5,0.0,85.0,6,4.5,1.6,8,4.8,10
S0444,4.6,27.2,80.0,5,5.4,5.4,7,4.8,11
S0445,5.7,15.0,86.0,3,7.0,2.3,6,4.3,16
S0446,5.0,12.7,88.0,5,5.5,2.8,6,5.8,15
S0447,6.1,13.1,92.0,3,5.8,3.8,5,2.3,3
S0448,5.9,8.7,78.0,3,6.0,0.7,4,4.1,6
S0449,5.8,15.3,88.0,7,5.5,0.8,4,6.7,15
S0450,5.9,10.8,85.0,6,5.2,3.2,5,7.6,8
S0451,6.9,17.4,100.0,2,6.9,2.7,2,4.2,13
S0452,6.9,12.9,86.0,4,4.5,4.2,2,7.0,4
S0453,8.3,17.7,84.0,12,7.1,1.3,2,3.2,2
S0454,6.8,12.4,80.0,3,6.7,3.2,4,1.4,2
S0455,4.3,5.5,73.0,1,5.9,6.6,7,5.3,10
S0456,4.7,2.2,75.0,5,5.4,2.7,3,6.3,9
S0457,9.0,9.9,89.0,8,7.3,1.9,3,3.2,15
S0458,6.4,15.7,61.0,4,5.1,2.3,2,6.0,16
S0459,6.6,22.2,87.0,7,7.1,3.3,4,1.2,2
S0460,6.9,15.7,83.0,2,7.2,3.2,3,1.9,9
S0461,8.0,12.4,85.0,10,6.9,0.8,3,2.8,3
S0462,8.6,24.0,87.0,3,6.3,1.6,3,3.6,16
S0463,3.3,9.7,82.0,2,4.7,1.3,10,4.1,24
S0464,5.3,14.4,80.0,4,5.7,0.6,5,4.3,6
S0465,6.7,14.9,97.0,14,4.7,1.2,4,5.4,4
S0466,7.1,18.1,78.0,3,6.3,0.4,4,2.6,7
S0467,5.4,15.7,92.0,2,7.0,1.8,7,3.1,14
S0468,3.4,19.2,67.0,6,5.3,1.6,7,7.0,16
S0469,5.6,18.8,78.0,8,6.4,2.9,6,3.6,9
S0470,9.3,16.7,98.0,14,7.2,6.5,1,5.3,4
S0471,5.5,17.4,90.0,3,5.8,0.4,7,4.3,4
S0472,5.1,22.9,76.0,5,5.9,2.9,7,3.8,5
S0473,4.0,21.4,79.0,4,6.3,1.2,7,5.0,14
S0474,4.3,15.3,68.0,4,6.8,0.7,6,2.5,18
S0475,5.1,12.1,87.0,4,6.2,0.2,5,4.3,10
S0476,4.0,9.2,78.0,1,5.1,2.6,8,5.2,7
S0477,7.4,1.5,88.0,6,5.8,2.8,5,4.3,10
S0478,5.4,22.2,91.0,3,5.9,3.6,7,3.3,15
S0479,7.6,10.5,78.0,6,6.7,1.1,4,2.8,2
S0480,6.7,7.7,87.0,6,6.7,2.2,4,3.5,21
S0481,6.8,20.0,73.0,3,6.1,1.1,4,5.8,8
S0482,7.0,15.3,100.0,10,5.1,3.1,4,4.7,11
S0483,7.0,18.2,94.0,3,7.2,4.8,4,2.7,5
S0484,5.0,19.1,79.0,5,4.4,3.8,7,6.3,11
S0485,5.0,7.2,86.0,9,6.5,2.8,8,2.8,5
S0486,8.0,8.3,69.0,4,5.6,3.3,4,5.3,5
S0487,6.2,16.2,92.0,5,5.7,3.8,3,3.5,6
S0488,5.6,14.8,86.0,10,6.1,0.9,8,0.9,11
S0489,6.0,21.6,83.0,5,5.3,2.2,5,3.3,18
S0490,5.2,22.1,88.0,6,6.2,1.5,6,2.5,9
S0491,4.8,17.2,78.0,2,6.4,2.6,6,3.2,12
S0492,5.6,21.0,83.0,5,6.0,2.3,7,3.3,24
S0493,8.4,16.0,79.0,1,6.6,9.1,3,2.6,9
S0494,4.6,20.4,88.0,3,6.2,5.9,7,3.9,9
S0495,5.6,21.6,79.0,4,5.8,2.8,7,3.4,4
S0496,8.1,7.3,90.0,10,6.7,1.8,1,1.5,1
S0497,6.3,11.2,92.0,2,6.0,3.9,5,4.2,15
S0498,6.0,18.7,67.0,2,6.5,2.9,4,4.4,13
S0499,5.1,4.3,79.0,3,4.6,5.6,6,2.8,3
S0500,5.6,9.3,91.0,5,6.3,3.5,5,3.5,4
S0501,8.0,5.9,83.0,4,6.6,6.0,4,2.8,6
S0502,7.1,10.0,88.0,11,5.3,2.0,5,2.4,9
S0503,4.7,9.7,79.0,7,7.8,2.5,6,3.4,7
S0504,6.8,19.8,97.0,9,6.7,2.2,5,4.8,1
S0505,5.1,11.1,96.0,3,6.2,3.2,5,4.5,3
S0506,5.3,22.5,68.0,5,6.9,9.1,10,1.3,19
S0507,5.4,19.1,70.0,4,7.6,3.7,6,3.4,16
S0508,8.4,20.1,96.0,1,6.4,5.5,3,5.1,9
S0509,6.1,20.6,87.0,2,6.7,2.8,5,5.9,10
S0510,6.6,8.7,77.0,4,6.6,5.8,6,3.1,12
S0511,6.4,17.5,94.0,3,6.3,2.8,3,4.6,6
S0512,6.1,12.6,100.0,5,6.5,1.2,5,3.9,1
S0513,6.1,24.5,73.0,7,6.4,5.8,4,1.7,30
S0514,6.7,5.1,82.0,3,7.1,1.0,1,4.4,8
S0515,5.6,10.2,72.0,4,6.3,2.2,6,2.5,17
S0516,5.2,8.8,71.0,2,7.9,7.6,6,1.5,10
S0517,4.9,30.4,84.0,2,5.6,1.0,6,6.5,25
S0518,5.3,8.1,81.0,4,5.2,3.2,5,5.9,18
S0519,6.1,16.3,96.0,4,8.2,0.4,4,4.3,0
S0520,5.1,9.0,79.0,2,5.7,4.4,6,1.8,16
S0521,4.7,16.2,81.0,6,4.8,0.4,6,5.0,8
S0522,4.1,16.6,75.0,1,7.5,0.5,7,3.4,11
S0523,4.2,9.9,87.0,8,5.3,1.9,8,4.6,9
S0524,5.1,10.8,77.0,4,7.3,0.4,7,3.6,12
S0525,7.7,12.8,84.0,12,6.7,4.6,4,4.4,4
S0526,8.2,14.8,95.0,14,7.0,0.5,5,1.5,6
S0527,8.6,21.2,100.0,9,7.0,5.8,2,4.0,0
S0528,5.1,12.4,72.0,4,5.7,3.2,7,4.4,26
S0529,4.0,16.2,81.0,1,4.3,2.4,6,6.1,9
S0530,5.0,12.0,79.0,1,7.2,2.2,8,0.7,19
S0531,4.8,9.9,76.0,3,6.6,1.2,6,7.4,11
S0532,2.4,8.7,60.0,3,4.3,0.2,8,7.8,17
S0533,5.9,5.5,90.0,4,5.9,1.9,4,4.0,2
S0534,5.2,20.8,98.0,5,5.5,2.3,6,3.0,19
S0535,5.9,5.0,82.0,4,6.6,0.8,5,6.1,14
S0536,6.1,34.4,82.0,4,6.6,5.3,5,1.0,21
S0537,8.0,15.7,89.0,3,6.2,3.3,2,3.6,0
S0538,6.0,16.2,70.0,6,7.8,4.8,4,5.8,18
S0539,6.2,11.1,71.0,4,5.1,3.4,1,7.1,3
S0540,5.4,14.2,73.0,5,4.6,1.2,5,5.6,5
S0541,6.0,9.5,81.0,4,7.9,1.3,4,4.4,2
S0542,5.3,18.4,76.0,2,5.7,1.7,5,4.1,2
S0543,6.4,5.5,70.0,10,5.4,2.6,2,4.6,1
S0544,7.4,17.8,88.0,6,5.0,7.3,4,6.0,11
S0545,6.2,11.6,76.0,8,8.3,3.8,5,0.4,9
S0546,7.4,19.6,74.0,6,8.2,1.7,1,3.8,7
S0547,2.6,11.5,83.0,2,5.9,0.7,8,4.4,15
S0548,6.1,22.2,88.0,4,5.9,0.6,6,3.2,11
S0549,7.8,13.4,81.0,13,6.7,3.7,4,4.0,11
S0550,3.8,4.8,80.0,9,4.2,0.3,9,6.3,11
S0551,6.2,14.8,85.0,4,6.2,2.9,8,3.6,14
S0552,7.8,14.0,89.0,6,5.4,3.3,1,3.5,0
S0553,5.8,16.1,84.0,10,6.0,1.6,5,6.5,6
S0554,7.2,9.1,75.0,8,6.1,1.4,4,4.0,10
S0555,6.7,4.4,86.0,9,5.5,7.7,5,3.2,14
S0556,7.9,3.2,84.0,4,7.7,2.2,3,1.5,0
S0557,6.3,9.3,78.0,3,6.6,3.8,5,3.6,20
S0558,7.4,7.0,78.0,4,7.2,2.8,5,1.2,3
S0559,7.9,18.0,83.0,3,7.1,0.2,1,3.2,14
S0560,7.6,18.3,94.0,8,6.3,1.8,5,4.9,4
S0561,4.2,13.8,93.0,5,5.2,0.4,8,3.0,20
S0562,7.0,17.3,85.0,3,5.4,1.7,5,3.7,12
S0563,5.9,13.5,91.0,10,5.9,1.5,7,4.9,6
S0564,2.5,16.5,74.0,2,5.6,1.8,8,5.8,26
S0565,6.3,18.2,70.0,10,4.8,3.6,6,7.2,17
S0566,5.2,11.2,99.0,4,5.8,0.6,6,6.5,21
S0567,4.8,5.8,88.0,5,5.8,1.8,6,5.3,9
S0568,5.4,21.6,94.0,5,8.2,0.8,4,5.0,8
S0569,2.8,14.6,84.0,5,6.2,0.4,10,4.1,7
S0570,6.1,22.8,82.0,6,6.4,5.0,6,2.9,9
S0571,6.1,16.0,78.0,4,7.6,1.5,6,0.2,8
S0572,4.5,2.5,87.0,6,6.0,3.2,7,4.6,23
S0573,3.3,4.3,81.0,7,6.1,0.8,8,2.6,11
S0574,6.5,6.0,79.0,3,6.3,1.4,2,6.2,18
S0575,8.8,9.6,85.0,8,7.3,3.1,3,1.5,2
S0576,6.8,9.7,92.0,7,6.2,2.6,5,0.7,13
S0577,5.4,16.8,65.0,3,5.7,3.3,6,3.0,11
S0578,5.8,20.8,95.0,7,6.2,3.5,3,6.0,1
S0579,8.8,6.2,82.0,8,7.0,3.0,2,3.5,0
S0580,6.2,6.0,75.0,10,6.3,4.0,7,3.2,20
S0581,5.2,3.6,88.0,8,4.0,4.4,7,5.9,5
S0582,6.4,14.4,66.0,4,6.4,3.7,5,3.7,11
S0583,6.0,12.0,78.0,3,5.4,2.0,5,4.7,16
S0584,5.7,15.0,74.0,3,6.0,1.7,4,3.4,7
S0585,7.3,14.3,83.0,8,6.3,0.9,3,3.8,12
S0586,6.7,19.4,82.0,2,5.5,5.6,3,10.2,8
S0587,7.4,26.1,80.0,6,7.4,2.5,5,0.9,6
S0588,3.3,15.7,75.0,2,4.8,3.2,5,6.7,8
S0589,7.5,8.0,87.0,12,7.9,0.8,7,0.2,13
S0590,7.6,14.0,88.0,7,7.2,2.7,2,0.5,0
S0591,7.0,12.5,62.0,8,5.4,1.2,2,5.8,1
S0592,6.8,19.7,85.0,7,7.1,4.4,6,3.7,10
S0593,7.2,19.4,88.0,2,5.6,1.0,3,4.0,3
S0594,5.7,15.2,85.0,5,6.7,2.5,4,5.5,8
S0595,5.9,10.7,70.0,1,5.4,5.5,5,3.1,6
S0596,8.1,16.7,76.0,7,6.8,3.6,3,0.9,17
S0597,7.9,7.1,72.0,8,7.1,5.3,2,4.2,19
S0598,5.7,23.7,94.0,3,6.0,4.4,6,2.6,9
S0599,6.7,16.9,98.0,2,4.9,1.5,1,6.8,0
S0600,6.5,35.3,77.0,3,5.7,11.8,6,4.4,17
S0601,9.3,3.6,79.0,9,6.5,0.8,1,5.0,0
S0602,6.3,6.8,87.0,3,6.4,3.2,7,1.4,9
S0603,5.0,0.0,75.0,3,6.1,1.7,6,4.2,10
S0604,5.6,18.2,95.0,4,5.2,4.4,5,4.4,13
S0605,4.5,26.7,94.0,4,4.7,0.8,6,5.2,12
S0606,5.6,18.2,93.0,1,6.6,2.2,5,1.9,13
S0607,7.8,13.1,70.0,3,6.4,5.9,2,5.0,5
S0608,6.2,13.5,78.0,9,5.8,3.2,7,6.0,7
S0609,5.7,0.0,65.0,1,6.9,1.9,5,3.5,5
S0610,5.3,19.0,95.0,7,5.3,1.2,6,3.1,30
S0611,4.7,14.5,74.0,4,5.4,5.0,5,4.9,19
S0612,7.3,11.7,86.0,15,6.2,1.3,5,5.8,3
S0613,5.6,16.9,88.0,4,6.0,5.1,7,3.5,6
S0614,2.3,17.6,79.0,2,5.2,1.2,7,5.7,7
S0615,5.0,9.3,81.0,3,4.6,0.9,6,7.2,5
S0616,7.2,9.9,75.0,4,5.7,0.2,3,4.9,22
S0617,5.9,9.0,81.0,3,5.5,0.3,3,3.9,14
S0618,6.5,26.6,75.0,4,4.3,2.7,3,5.6,3
S0619,5.1,16.5,93.0,5,4.6,0.9,7,6.7,4
S0620,4.1,3.6,74.0,1,5.5,4.3,6,6.5,20
S0621,4.6,12.9,78.0,5,4.9,5.3,5,4.5,8
S0622,6.1,14.2,91.0,3,5.9,1.6,5,5.4,5
S0623,6.5,1.2,89.0,3,6.5,7.7,4,3.0,30
S0624,5.2,12.3,70.0,9,5.5,3.5,7,4.2,14
S0625,5.9,8.7,83.0,2,7.1,2.7,3,3.2,4
S0626,8.4,15.6,96.0,7,5.6,1.9,3,3.0,5
S0627,3.1,11.8,72.0,4,5.9,3.8,7,4.0,17
S0628,3.7,15.9,68.0,3,6.1,0.3,6,3.1,25
S0629,7.8,21.5,95.0,9,5.9,6.0,5,4.0,28
S0630,7.3,16.5,100.0,6,5.4,4.6,3,4.0,4
S0631,8.3,12.8,87.0,6,7.1,1.0,3,1.9,10
S0632,5.7,18.1,87.0,1,6.7,1.0,7,3.0,10
S0633,6.0,12.7,74.0,5,6.7,3.1,6,5.0,16
S0634,3.1,9.6,76.0,4,5.4,7.7,8,3.2,13
S0635,5.3,15.8,84.0,8,5.0,0.5,4,7.1,0
S0636,5.5,14.6,88.0,4,5.4,2.6,5,8.0,4
S0637,6.0,7.7,73.0,5,5.9,0.8,3,5.5,13
S0638,3.8,17.5,84.0,2,5.9,3.5,9,4.6,15
S0639,6.9,18.1,82.0,4,5.7,1.3,2,4.6,7
S0640,4.7,8.3,74.0,5,5.5,3.8,6,1.4,27
S0641,5.0,12.5,91.0,1,6.6,2.1,8,3.2,28
S0642,7.1,2.6,84.0,6,7.0,2.2,3,0.4,7
S0643,6.3,7.7,84.0,3,4.4,1.6,2,4.7,23
S0644,6.9,15.2,83.0,6,5.7,2.6,3,5.5,7
S0645,7.0,0.0,80.0,3,5.5,0.2,2,4.3,6
S0646,6.4,28.7,79.0,4,6.2,0.8,6,3.6,5
S0647,6.9,25.3,98.0,8,6.3,0.2,5,2.7,6
S0648,7.4,19.5,94.0,5,5.6,2.5,3,4.6,16
S0649,7.3,16.2,87.0,4,7.1,3.4,5,1.8,4
S0650,4.0,9.1,87.0,7,5.4,3.0,8,5.7,6
S0651,7.4,9.6,76.0,16,6.5,6.3,5,1.6,13
S0652,8.1,19.7,89.0,4,8.8,3.1,4,1.0,2
S0653,5.6,30.3,88.0,5,6.8,1.6,9,3.2,20
S0654,6.9,24.5,98.0,4,5.5,2.1,3,4.3,11
S0655,8.0,12.0,85.0,4,7.1,1.9,4,2.6,7
S0656,2.5,9.8,84.0,1,5.7,1.7,8,3.5,8
S0657,7.0,7.7,100.0,4,6.1,1.3,5,4.3,17
S0658,7.5,14.0,85.0,3,5.8,2.5,1,2.5,4
S0659,6.4,8.0,79.0,2,4.3,1.3,3,5.4,10
S0660,9.0,4.2,92.0,6,5.6,0.3,1,3.5,10
S0661,6.1,20.0,79.0,2,6.2,4.0,4,4.8,7
S0662,5.4,0.0,76.0,10,6.0,3.5,6,2.6,14
S0663,9.6,8.8,81.0,5,7.7,0.7,2,0.7,3
S0664,3.8,16.8,84.0,4,4.2,0.7,8,4.7,5
S0665,4.2,18.7,79.0,1,6.5,2.8,8,5.3,13
S0666,7.5,11.9,82.0,6,7.4,3.8,7,2.4,11
S0667,6.3,19.4,88.0,2,7.2,1.4,4,3.5,11
S0668,7.3,15.3,84.0,6,7.5,0.7,5,1.4,2
S0669,7.1,15.4,93.0,3,7.7,3.9,6,1.0,14
S0670,3.9,18.7,84.0,1,4.5,2.1,7,6.1,5
S0671,2.4,13.3,82.0,7,4.2,0.3,8,6.4,27
S0672,8.6,10.8,91.0,7,7.1,1.1,1,2.7,6
S0673,4.7,17.6,92.0,6,5.2,0.4,4,7.0,3
S0674,6.3,15.1,83.0,3,7.2,0.3,3,2.7,13
S0675,5.7,9.2,86.0,4,4.0,2.8,4,4.7,6
S0676,2.9,13.0,70.0,3,5.0,3.5,6,3.8,9
S0677,2.7,19.2,93.0,2,6.0,1.7,10,3.9,12
S0678,6.7,15.9,76.0,7,7.5,1.5,5,0.2,8
S0679,5.0,20.8,87.0,12,4.7,1.7,7,6.4,9
S0680,6.1,16.6,77.0,5,7.2,1.4,5,2.1,17
S0681,4.4,17.3,81.0,2,5.6,3.9,5,3.5,4
S0682,2.0,14.9,82.0,4,6.1,0.8,9,5.6,20
S0683,9.1,16.9,86.0,2,6.6,5.0,3,1.5,0
S0684,6.3,24.8,88.0,14,5.8,1.5,7,3.6,7
S0685,4.9,16.9,84.0,11,4.5,1.3,9,3.5,5
S0686,3.5,13.1,71.0,6,4.8,1.3,10,3.4,22
S0687,6.8,17.9,74.0,7,6.7,1.6,4,1.6,5
S0688,8.1,4.5,69.0,5,5.5,0.8,3,4.4,0
S0689,6.2,11.2,78.0,2,6.4,0.6,3,1.4,12
S0690,6.7,7.6,83.0,4,5.0,3.1,4,3.6,6
S0691,4.3,14.5,83.0,2,4.9,2.3,5,6.6,13
S0692,6.6,13.7,79.0,3,6.1,5.7,5,3.8,11
S0693,5.7,5.8,86.0,6,7.0,0.6,7,1.3,7
S0694,6.6,23.0,85.0,2,5.9,4.0,5,4.0,10
S0695,7.2,11.3,100.0,4,7.9,0.4,6,1.3,11
S0696,7.8,11.1,88.0,12,6.8,0.4,2,2.2,0
S0697,7.6,25.0,78.0,2,5.7,2.1,4,4.0,9
S0698,6.8,17.2,79.0,4,6.8,0.1,5,2.3,7
S0699,9.6,22.4,78.0,12,7.2,3.8,1,3.3,15
S0700,6.7,16.2,90.0,2,6.6,0.4,5,0.2,14
S0701,6.1,7.9,87.0,3,6.9,4.4,7,3.5,12
S0702,5.7,13.6,86.0,5,5.4,5.0,5,5.5,8
S0703,5.5,3.0,81.0,2,6.7,1.2,6,0.2,15
S0704,7.2,13.5,82.0,6,4.9,2.9,5,3.3,13
S0705,7.0,22.0,81.0,9,6.0,0.3,3,5.8,6
S0706,5.2,11.1,70.0,3,7.5,0.8,5,4.4,17
S0707,5.6,0.0,72.0,4,7.0,0.3,4,3.9,28
S0708,6.1,15.5,88.0,4,5.7,4.1,5,4.2,4
S0709,5.9,9.4,98.0,2,5.6,4.2,5,4.5,2
S0710,5.6,15.2,86.0,1,5.3,1.9,5,5.6,4
S0711,6.0,5.7,77.0,4,4.2,1.6,2,7.1,10
S0712,6.2,19.8,85.0,11,4.7,3.6,5,4.5,1
S0713,4.5,5.0,70.0,5,6.3,0.7,9,3.3,11
S0714,3.9,7.7,75.0,7,5.1,1.5,7,6.1,13
S0715,5.3,13.6,69.0,8,5.3,1.3,5,5.5,15
S0716,9.1,16.1,82.0,12,6.2,13.0,4,4.8,8
S0717,4.7,9.3,85.0,3,5.7,0.7,7,4.6,17
S0718,7.6,9.8,89.0,4,6.0,0.9,5,3.2,9
S0719,8.0,17.2,76.0,13,6.7,2.4,2,1.5,9
S0720,7.0,9.9,65.0,6,5.8,0.8,4,5.7,8
S0721,5.9,10.2,85.0,4,4.9,0.7,8,2.1,7
S0722,8.9,15.7,82.0,6,6.6,0.6,2,1.7,0
S0723,8.2,9.8,89.0,11,6.4,0.9,5,2.3,10
S0724,7.4,13.3,84.0,3,7.1,1.3,4,4.3,9
S0725,6.9,31.7,92.0,10,6.7,9.1,5,5.4,4
S0726,6.7,24.5,85.0,6,6.3,2.1,4,4.7,6
S0727,6.0,13.2,81.0,13,5.4,1.9,3,6.9,7
S0728,9.6,11.3,99.0,6,7.5,0.5,1,0.2,5
S0729,5.4,11.6,75.0,2,6.2,1.0,5,6.7,22
S0730,5.9,14.4,76.0,6,5.2,1.3,5,3.6,5
S0731,5.5,13.3,81.0,7,6.0,1.3,5,5.7,10
S0732,7.6,19.6,99.0,9,7.0,2.1,3,0.2,4
S0733,8.2,11.3,87.0,5,7.3,5.8,4,3.7,11
S0734,3.0,16.2,83.0,4,5.5,2.7,9,9.1,16
S0735,6.3,0.0,77.0,3,5.7,2.0,3,3.0,16
S0736,4.6,11.2,78.0,5,4.9,0.6,4,6.8,4
S0737,7.0,16.5,91.0,3,7.9,2.3,3,4.1,8
S0738,6.1,16.9,77.0,4,7.1,2.1,5,5.0,10
S0739,7.4,15.0,96.0,8,7.6,4.6,6,1.7,10
S0740,4.0,12.3,72.0,7,6.0,0.7,7,3.9,11
S0741,4.3,14.2,87.0,6,3.8,2.1,5,7.7,11
S0742,4.7,12.3,100.0,5,3.9,0.2,5,6.4,18
S0743,5.2,12.2,95.0,1,5.9,0.4,6,3.3,15
S0744,4.8,9.6,80.0,6,5.9,1.8,6,4.6,8
S0745,6.6,22.4,99.0,10,6.4,4.3,5,3.9,2
S0746,4.6,14.0,74.0,2,4.7,0.6,5,5.7,21
S0747,3.2,12.9,83.0,4,3.9,3.4,8,6.0,6
S0748,6.4,12.6,96.0,2,6.2,1.2,4,4.9,8
S0749,6.1,17.7,97.0,10,8.2,3.5,5,3.9,4
S0750,7.2,3.1,86.0,6,7.8,0.7,3,4.9,3
S0751,7.1,15.3,93.0,2,6.2,1.6,4,4.6,1
S0752,4.7,20.9,83.0,4,5.3,2.5,8,4.3,26
S0753,6.2,20.6,72.0,3,6.8,1.5,4,4.1,2
S0754,5.4,21.4,91.0,4,6.1,4.6,6,1.6,4
S0755,4.8,17.6,82.0,12,7.2,1.1,9,3.0,11
S0756,6.6,14.9,75.0,4,5.9,1.5,6,2.8,12
S0757,7.3,17.9,88.0,4,7.3,2.8,5,5.1,7
S0758,5.9,13.8,85.0,4,5.6,1.9,3,4.0,0
S0759,7.1,8.2,74.0,3,5.7,3.8,1,5.0,22
S0760,6.9,11.0,87.0,3,5.2,1.2,3,4.3,1
S0761,7.6,18.9,71.0,4,7.0,4.5,3,1.8,13
S0762,6.3,9.1,87.0,7,6.3,4.6,7,4.2,10
S0763,5.6,19.6,96.0,7,6.5,1.2,6,3.6,15
S0764,6.8,22.1,90.0,4,6.2,4.7,2,5.3,2
S0765,4.3,11.1,78.0,5,5.5,3.0,6,3.2,8
S0766,6.2,3.0,79.0,3,6.2,0.6,4,5.5,18
S0767,5.6,12.5,80.0,6,7.4,4.1,9,2.2,15
S0768,3.7,18.1,71.0,7,5.8,1.6,8,5.0,16
S0769,7.0,10.9,87.0,7,7.1,0.7,6,4.1,7
S0770,8.9,12.3,84.0,9,5.9,1.1,4,3.1,6
S0771,3.9,13.1,78.0,3,5.9,1.8,9,1.3,18
S0772,5.5,14.9,73.0,3,7.4,1.6,7,0.6,12
S0773,3.5,19.4,79.0,6,3.6,4.0,7,7.8,9
S0774,6.3,26.5,61.0,10,5.6,0.4,6,1.7,6
S0775,5.7,2.3,73.0,3,5.2,1.7,5,5.7,11
S0776,5.5,11.9,100.0,4,6.8,1.2,7,2.8,7
S0777,7.8,21.9,100.0,9,5.5,1.0,4,4.5,12
S0778,6.0,13.1,88.0,7,4.3,1.3,7,4.8,12
S0779,7.9,15.2,88.0,2,7.0,0.4,6,3.2,14
S0780,8.5,13.0,93.0,5,5.6,5.5,2,4.9,14
S0781,5.9,19.3,91.0,8,6.6,3.4,6,1.9,14
S0782,4.5,21.5,86.0,3,5.3,2.0,5,5.5,2
S0783,6.3,11.7,81.0,5,5.1,2.9,4,6.1,6
S0784,6.1,1.8,69.0,2,6.9,0.9,5,2.8,20
S0785,3.1,10.4,85.0,5,4.9,1.3,7,4.2,16
S0786,6.8,25.9,96.0,6,6.3,1.8,3,4.5,8
S0787,7.1,9.6,85.0,4,6.5,2.6,3,4.2,4
S0788,5.4,8.0,76.0,7,5.7,2.2,7,4.2,10
S0789,6.8,19.4,87.0,10,6.6,3.6,6,3.1,6
S0790,7.9,16.6,86.0,3,4.7,1.8,2,4.1,0
S0791,7.4,4.2,78.0,4,6.9,3.6,5,2.6,5
S0792,9.3,9.6,81.0,12,7.1,2.5,2,2.6,10
S0793,6.0,21.2,93.0,11,6.2,3.1,7,4.9,15
S0794,5.2,12.0,79.0,6,5.4,0.7,6,2.7,8
S0795,5.8,18.0,87.0,9,5.4,9.0,6,2.8,7
S0796,6.7,19.8,87.0,6,5.3,2.9,2,2.7,8
S0797,6.5,6.9,88.0,9,5.0,2.4,4,5.4,6
S0798,3.6,12.3,81.0,2,6.8,0.7,7,1.6,29
S0799,7.8,26.1,87.0,2,4.4,4.3,2,6.3,1
S0800,3.4,12.5,80.0,4,4.2,3.4,6,7.8,7
S0801,6.6,12.6,74.0,14,6.4,0.6,5,3.8,15
S0802,8.1,17.5,82.0,18,5.1,1.7,5,4.7,8
S0803,7.3,14.1,80.0,19,6.4,3.7,3,7.1,13
S0804,6.0,14.5,81.0,4,6.5,1.5,6,3.1,3
S0805,6.5,23.2,90.0,5,7.3,3.1,6,2.9,5
S0806,4.9,4.6,93.0,7,5.7,6.4,7,5.3,6
S0807,1.2,0.0,69.0,3,5.2,0.5,10,4.0,17
S0808,4.6,9.3,83.0,3,5.4,0.3,5,8.4,8
S0809,7.6,31.3,97.0,12,7.2,0.2,5,1.8,2
S0810,8.3,17.1,71.0,4,7.4,0.9,3,0.7,1
S0811,4.8,17.7,85.0,7,5.7,3.7,9,4.3,27
S0812,5.8,16.8,79.0,3,7.4,1.2,4,3.5,15
S0813,4.0,26.8,63.0,1,6.3,1.1,7,1.4,9
S0814,6.3,10.1,99.0,3,4.4,1.8,3,5.6,3
S0815,6.2,5.2,74.0,1,6.0,5.2,5,4.2,5
S0816,5.3,12.2,99.0,1,4.1,1.6,6,8.2,7
