respondent_id,gender,age_group,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,satisfaction,comment_ja,comment_en
R189,male,40s,2,2,4,1,1,1,5,5,4,3,4,4,4,生地がしっかりしていて長く着られます。,The fabric is sturdy and lasts a long time.
R190,female,20s,3,2,4,3,2,4,3,3,2,2,3,5,2,素材の質がもう少し良いと嬉しいです。クーポンがあると嬉しいです。,I'd like slightly better material quality. Coupons would be nice.
R191,female,30s,5,5,4,3,1,1,3,3,3,3,3,3,3,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R192,female,30s,4,4,4,4,4,4,5,5,5,5,3,2,4,返品の送料が無料だと嬉しいです。,Free return shipping would be great.
R193,female,40s,3,3,3,2,3,1,3,3,3,1,1,1,3,,
R194,female,30s,4,4,4,4,4,3,4,4,4,4,3,3,3,,
R195,male,40s,2,3,3,3,1,4,3,3,2,3,4,4,4,交換の手続きが分かりにくかったです。,The exchange process was confusing.
R196,female,40s,4,4,5,2,4,4,4,5,4,3,3,2,5,リサイクルの取り組みがあると嬉しいです。,A recycling program would be nice.
R197,male,30s,1,3,2,1,1,1,3,3,3,3,4,2,5,商品の写真をもっと増やしてほしいです。,Please add more product photos.
R198,female,20s,4,2,3,3,2,2,2,2,3,3,2,2,5,素材の質がもう少し良いと嬉しいです。送料が高いと感じます。,I'd like slightly better material quality. The shipping fee feels expensive.
R199,female,20s,2,3,2,2,3,4,5,4,4,1,1,2,3,送料が高いと感じます。,The shipping fee feels expensive.
R200,female,20s,5,4,4,1,3,2,5,4,5,2,4,2,2,生地がしっかりしていて長く着られます。,The fabric is sturdy and lasts a long time.
R201,male,40s,5,5,4,4,3,4,3,3,3,3,2,3,3,,
R202,male,20s,4,3,4,1,3,2,3,1,3,3,4,4,2,返品の手続きが簡単で安心です。,"Returns are easy, which is reassuring."
R203,female,50+,2,1,3,1,2,4,4,4,4,2,3,4,5,他にない個性的なデザインが好きです。,I like the unique designs you can't find elsewhere.
R204,male,20s,3,4,4,2,3,3,3,3,3,2,3,3,3,過剰な包装を減らしてほしいです。サイトが見やすくて買いやすいです。,Please reduce excessive packaging. The website is easy to browse and shop on.
R205,male,10s,5,5,5,5,4,5,2,3,3,5,3,4,2,クーポンがあると嬉しいです。,Coupons would be nice.
R206,male,20s,3,3,4,2,2,2,3,2,4,2,3,4,3,他にない個性的なデザインが好きです。,I like the unique designs you can't find elsewhere.
R207,female,20s,1,1,4,3,5,3,2,2,4,3,4,4,4,デザインがかわいくて気に入っています。,I love the cute designs.
R208,female,20s,3,4,3,5,4,3,4,2,1,2,4,2,3,配送が早くて助かりました。,"Delivery was fast, which was helpful."
R209,male,20s,3,3,2,2,3,2,4,4,3,4,3,2,4,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R210,male,40s,1,1,1,2,1,2,4,3,5,1,2,2,4,,
R211,female,20s,3,3,2,4,4,4,4,5,4,2,2,1,2,リサイクルの取り組みがあると嬉しいです。,A recycling program would be nice.
R212,female,30s,3,4,3,5,3,4,3,4,4,2,3,2,4,サイズ感が分かりにくいです。,It's hard to tell how the sizes fit.
R213,female,50+,3,3,2,4,4,3,3,5,2,1,3,3,3,過剰な包装を減らしてほしいです。,Please reduce excessive packaging.
R214,female,20s,5,4,5,5,4,4,2,3,2,5,5,3,2,SNSでコーディネートを紹介してほしいです。,Please share outfit ideas on social media.
R215,female,30s,4,3,3,4,4,4,1,1,1,2,1,2,3,サイトが見やすくて買いやすいです。,The website is easy to browse and shop on.
R216,female,50+,2,2,3,1,2,3,4,4,4,3,5,3,4,素材の質がもう少し良いと嬉しいです。,I'd like slightly better material quality.
R217,female,30s,3,3,4,3,3,3,4,3,3,4,4,3,3,セールをもっと頻繁にしてほしいです。,I'd like more frequent sales.
R218,male,30s,5,5,5,4,2,4,3,4,2,3,4,3,4,もう少し価格が安いと嬉しいです。,I wish the prices were a little lower.
R219,female,30s,4,3,3,2,2,2,3,2,2,1,1,1,3,,
R220,female,20s,1,2,1,4,4,3,3,3,3,5,3,4,4,学生には値段が少し高いです。,The prices are a bit expensive for students.
R221,female,40s,4,3,1,1,3,2,4,5,3,1,2,1,4,サイトが見やすくて買いやすいです。セールをもっと頻繁にしてほしいです。,The website is easy to browse and shop on. I'd like more frequent sales.
R222,female,50+,1,3,2,3,1,1,5,5,5,2,1,1,5,リサイクルの取り組みがあると嬉しいです。,A recycling program would be nice.
R223,male,50+,4,4,4,1,1,2,4,4,5,3,2,2,4,サイトが見やすくて買いやすいです。,The website is easy to browse and shop on.
R224,female,30s,5,4,3,2,3,2,5,4,4,4,3,3,5,洗濯しても型崩れしないのが良いです。,It keeps its shape even after washing.
R225,female,20s,4,5,4,4,2,3,3,3,2,3,2,3,4,洗濯しても型崩れしないのが良いです。,It keeps its shape even after washing.
R226,female,30s,2,3,3,3,3,2,4,5,4,3,3,2,3,サイズ表をもっと詳しくしてほしいです。,Please make the size chart more detailed.
R227,female,50+,3,4,4,2,3,3,4,4,4,1,2,2,5,,
R228,other,50+,4,3,4,3,2,2,4,4,5,2,2,3,3,もう少し価格が安いと嬉しいです。サイズ感が分かりにくいです。,I wish the prices were a little lower. It's hard to tell how the sizes fit.
R229,female,20s,3,2,3,2,1,3,4,3,3,3,2,3,4,サイズ感が分かりにくいです。インフルエンサーとのコラボ商品が欲しいです。,It's hard to tell how the sizes fit. I'd like collaboration items with influencers.
R230,male,50+,4,4,4,1,1,1,4,5,4,4,4,2,4,サイトが見やすくて買いやすいです。生地がしっかりしていて長く着られます。,The website is easy to browse and shop on. The fabric is sturdy and lasts a long time.
R231,female,40s,3,4,3,3,5,4,4,4,4,2,3,1,3,洗濯しても型崩れしないのが良いです。過剰な包装を減らしてほしいです。,It keeps its shape even after washing. Please reduce excessive packaging.
R232,female,40s,3,4,4,4,4,4,3,5,3,2,2,2,3,SNSでコーディネートを紹介してほしいです。,Please share outfit ideas on social media.
R233,male,20s,3,2,3,4,5,2,3,3,5,2,2,1,4,学生には値段が少し高いです。,The prices are a bit expensive for students.
R234,female,50+,3,3,3,2,2,2,2,3,4,2,2,3,3,クーポンがあると嬉しいです。リサイクルの取り組みがあると嬉しいです。,Coupons would be nice. A recycling program would be nice.
R235,female,40s,4,4,3,4,3,3,5,5,4,3,3,2,4,商品の写真をもっと増やしてほしいです。生地がしっかりしていて長く着られます。,Please add more product photos. The fabric is sturdy and lasts a long time.
R236,female,20s,2,2,2,5,4,4,5,4,4,1,3,2,2,アプリがあると便利だと思います。送料無料の金額をもう少し下げてほしいです。,An app would be convenient. Please lower the minimum order for free shipping.
R237,female,30s,3,3,3,1,2,1,2,3,4,3,3,4,3,他にない個性的なデザインが好きです。,I like the unique designs you can't find elsewhere.
R238,male,20s,4,3,2,3,3,2,4,5,3,2,3,2,5,インスタの投稿を見て購入しました。,I bought it after seeing an Instagram post.
R239,female,40s,3,3,3,2,2,1,3,3,2,2,1,1,3,着用モデルの身長を載せてほしいです。デザインがかわいくて気に入っています。,Please show the height of the models. I love the cute designs.
R240,female,30s,2,3,3,1,3,2,5,4,5,2,3,2,3,サイズ感が分かりにくいです。商品の写真をもっと増やしてほしいです。,It's hard to tell how the sizes fit. Please add more product photos.
R241,male,30s,4,4,4,2,3,3,4,4,4,4,3,4,3,過剰な包装を減らしてほしいです。トレンドのデザインが多くて嬉しいです。,Please reduce excessive packaging. I'm happy there are many trendy designs.
R242,male,40s,4,5,4,3,3,4,3,3,3,3,2,2,2,送料が高いと感じます。過剰な包装を減らしてほしいです。,The shipping fee feels expensive. Please reduce excessive packaging.
R243,other,40s,4,4,3,4,4,3,5,5,5,2,3,3,5,過剰な包装を減らしてほしいです。,Please reduce excessive packaging.
R244,female,10s,3,2,2,5,3,4,3,4,2,1,2,2,3,価格が高めなので買うのを迷います。デザインがかわいくて気に入っています。,"The prices are a bit high, so I hesitate to buy. I love the cute designs."
R245,female,40s,4,2,3,2,2,3,2,2,3,1,1,3,3,,
R246,female,30s,5,4,4,2,3,3,4,5,5,3,3,2,4,価格が高めなので買うのを迷います。,"The prices are a bit high, so I hesitate to buy."
R247,female,20s,4,4,4,1,3,2,3,4,4,3,3,3,3,セールの情報をメールで知りたいです。サイズ感が分かりにくいです。,I want to get sale announcements by email. It's hard to tell how the sizes fit.
R248,female,20s,2,1,3,1,2,2,3,3,3,2,2,3,3,,
R249,female,30s,4,2,4,2,3,3,5,5,3,3,4,3,4,洗濯しても型崩れしないのが良いです。商品の写真をもっと増やしてほしいです。,It keeps its shape even after washing. Please add more product photos.
R250,female,40s,2,3,3,4,5,4,4,4,4,4,4,3,3,生地がしっかりしていて長く着られます。他にない個性的なデザインが好きです。,The fabric is sturdy and lasts a long time. I like the unique designs you can't find elsewhere.
R251,other,50+,4,3,3,1,1,2,5,5,5,3,3,3,3,サイズ表をもっと詳しくしてほしいです。洗濯しても型崩れしないのが良いです。,Please make the size chart more detailed. It keeps its shape even after washing.
R252,female,20s,3,3,4,4,4,3,3,2,4,4,4,4,4,過剰な包装を減らしてほしいです。,Please reduce excessive packaging.
R253,female,30s,1,2,2,2,2,3,5,5,5,5,4,4,4,リサイクルの取り組みがあると嬉しいです。,A recycling program would be nice.
R254,male,40s,4,4,3,2,3,2,2,4,3,5,5,3,3,リサイクルの取り組みがあると嬉しいです。,A recycling program would be nice.
R255,male,30s,5,3,5,4,4,2,4,4,3,2,2,2,4,素材の質がもう少し良いと嬉しいです。送料が高いと感じます。,I'd like slightly better material quality. The shipping fee feels expensive.
R256,male,40s,2,3,3,4,3,1,4,3,3,3,3,4,2,サイズ感が分かりにくいです。,It's hard to tell how the sizes fit.
R257,female,30s,2,3,1,4,3,5,1,3,3,3,2,1,3,サイズ表をもっと詳しくしてほしいです。,Please make the size chart more detailed.
R258,male,20s,5,5,3,2,4,5,4,2,4,3,2,3,2,学生には値段が少し高いです。トレンドのデザインが多くて嬉しいです。,The prices are a bit expensive for students. I'm happy there are many trendy designs.
R259,other,30s,3,3,3,3,3,2,1,2,3,1,1,2,4,SNSでコーディネートを紹介してほしいです。配送が早くて助かりました。,"Please share outfit ideas on social media. Delivery was fast, which was helpful."
R260,female,30s,3,3,3,4,2,3,3,5,4,3,2,4,3,環境に配慮した素材を増やしてほしいです。,Please use more eco-friendly materials.
R261,other,50+,3,3,2,3,3,3,4,5,5,2,3,2,4,,
R262,female,20s,2,1,1,3,5,2,3,5,2,4,4,3,4,配送が早くて助かりました。,"Delivery was fast, which was helpful."
R263,female,20s,2,2,2,2,3,3,5,3,5,3,3,4,3,サイズ感が分かりにくいです。,It's hard to tell how the sizes fit.
R264,male,40s,3,4,4,2,3,3,4,3,4,3,3,2,4,もう少し価格が安いと嬉しいです。,I wish the prices were a little lower.
R265,male,20s,4,4,3,4,3,3,3,3,5,2,2,2,4,価格が高めなので買うのを迷います。,"The prices are a bit high, so I hesitate to buy."
R266,female,30s,3,4,4,5,3,4,3,4,5,2,3,2,5,セールをもっと頻繁にしてほしいです。インフルエンサーとのコラボ商品が欲しいです。,I'd like more frequent sales. I'd like collaboration items with influencers.
R267,female,50+,1,1,1,1,3,2,5,5,5,4,2,4,5,過剰な包装を減らしてほしいです。,Please reduce excessive packaging.
R268,female,30s,3,1,1,4,3,4,4,4,4,3,4,3,4,アプリがあると便利だと思います。交換の手続きが分かりにくかったです。,An app would be convenient. The exchange process was confusing.
R269,male,30s,3,2,4,5,3,3,5,3,4,1,3,3,5,インフルエンサーとのコラボ商品が欲しいです。,I'd like collaboration items with influencers.
R270,female,50+,2,3,3,2,3,2,5,4,3,4,3,4,4,交換の手続きが分かりにくかったです。,The exchange process was confusing.
R271,female,40s,4,5,4,4,1,3,4,2,3,3,3,3,5,サイズ感が分かりにくいです。,It's hard to tell how the sizes fit.
R272,male,50+,4,4,5,3,4,4,5,5,5,3,5,4,5,素材の質がもう少し良いと嬉しいです。,I'd like slightly better material quality.
R273,other,30s,3,3,3,2,3,4,3,1,2,5,4,3,4,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R274,male,30s,3,2,3,5,5,5,5,4,4,4,3,2,3,送料が高いと感じます。,The shipping fee feels expensive.
R275,female,20s,5,3,3,4,2,3,5,3,5,4,5,4,4,学生には値段が少し高いです。,The prices are a bit expensive for students.
R276,female,20s,4,4,4,2,3,4,5,4,3,4,5,3,4,,
R277,female,30s,4,3,4,3,3,3,3,5,4,2,4,3,4,クーポンがあると嬉しいです。,Coupons would be nice.
R278,female,10s,4,4,3,4,5,4,3,4,4,3,4,3,2,環境に配慮した素材を増やしてほしいです。インフルエンサーとのコラボ商品が欲しいです。,Please use more eco-friendly materials. I'd like collaboration items with influencers.
R279,female,20s,2,3,2,3,3,2,5,4,5,2,2,2,4,他にない個性的なデザインが好きです。,I like the unique designs you can't find elsewhere.
R280,female,40s,4,5,4,4,4,2,4,2,4,3,3,4,5,もう少し価格が安いと嬉しいです。,I wish the prices were a little lower.
R281,male,30s,3,3,4,5,3,4,1,3,3,2,2,3,4,SNSでコーディネートを紹介してほしいです。,Please share outfit ideas on social media.
R282,female,10s,3,4,4,3,4,4,3,2,1,3,2,2,3,サイトが見やすくて買いやすいです。トレンドのデザインが多くて嬉しいです。,The website is easy to browse and shop on. I'm happy there are many trendy designs.
R283,female,20s,5,3,5,4,4,5,4,2,3,1,2,2,3,,
R284,male,30s,4,2,3,2,3,4,2,4,3,1,2,1,3,送料が高いと感じます。他にない個性的なデザインが好きです。,The shipping fee feels expensive. I like the unique designs you can't find elsewhere.
R285,male,20s,5,5,5,5,5,4,5,5,5,4,1,3,4,学生には値段が少し高いです。デザインがかわいくて気に入っています。,The prices are a bit expensive for students. I love the cute designs.
R286,male,30s,3,4,4,2,5,3,2,2,4,1,2,1,3,セールの情報をメールで知りたいです。,I want to get sale announcements by email.
R287,male,20s,3,3,3,1,2,2,5,5,3,2,2,3,3,素材の質がもう少し良いと嬉しいです。価格が高めなので買うのを迷います。,"I'd like slightly better material quality. The prices are a bit high, so I hesitate to buy."
R288,other,40s,3,3,1,4,3,4,5,2,4,3,3,2,4,送料が高いと感じます。,The shipping fee feels expensive.
R289,female,20s,5,5,5,5,3,4,3,3,2,2,3,3,3,過剰な包装を減らしてほしいです。SNSでコーディネートを紹介してほしいです。,Please reduce excessive packaging. Please share outfit ideas on social media.
R290,male,20s,2,2,3,1,1,2,2,4,2,1,1,2,3,,
R291,female,30s,2,3,2,1,1,3,4,5,4,1,1,1,4,素材の質がもう少し良いと嬉しいです。,I'd like slightly better material quality.
R292,female,30s,3,5,4,3,5,5,2,1,2,2,4,3,3,,
R293,male,50+,4,3,3,3,3,3,5,5,5,2,4,3,5,送料が高いと感じます。,The shipping fee feels expensive.
R294,female,20s,4,3,4,5,5,5,3,3,5,2,3,4,5,価格が高めなので買うのを迷います。商品の写真をもっと増やしてほしいです。,"The prices are a bit high, so I hesitate to buy. Please add more product photos."
R295,male,20s,2,2,2,4,3,5,4,2,4,2,3,3,3,他にない個性的なデザインが好きです。交換の手続きが分かりにくかったです。,I like the unique designs you can't find elsewhere. The exchange process was confusing.
R296,female,20s,3,4,3,4,3,3,3,4,2,2,3,2,4,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R297,female,40s,5,3,3,2,2,3,5,5,5,4,4,4,5,素材の質がもう少し良いと嬉しいです。,I'd like slightly better material quality.
R298,female,20s,1,1,3,5,4,4,4,4,4,3,3,2,3,,
R299,female,50+,3,3,3,2,4,2,3,4,5,1,1,2,4,インフルエンサーとのコラボ商品が欲しいです。,I'd like collaboration items with influencers.
R300,male,10s,4,2,3,2,3,3,3,3,3,4,1,3,2,セールをもっと頻繁にしてほしいです。送料が高いと感じます。,I'd like more frequent sales. The shipping fee feels expensive.
